"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"4010","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","4016","0.0-0.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","","",""
"52309","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","56329","0.0-1.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","","",""
"14031","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","70361","0.0-2.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","","",""
"null","[""movies/Attraction.mp4""]","null","video-keyboard-response","3","190849","0.0-3.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","1","movies/Attraction.mp4",""
"45604","","{""personality_traits"":""Smart, confident, talkative"",""emotions_mental_states"":""Happiness""}","survey-text","4","236513","0.0-4.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","1","movies/Attraction.mp4",""
"null","[""movies/Cringe.mp4""]","null","video-keyboard-response","5","357066","0.0-5.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","2","movies/Cringe.mp4",""
"26358","","{""personality_traits"":""Honest, creative"",""emotions_mental_states"":""depressed, sad""}","survey-text","6","383427","0.0-6.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","2","movies/Cringe.mp4",""
"null","[""movies/HardMode.mp4""]","null","video-keyboard-response","7","504093","0.0-7.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","3","movies/HardMode.mp4",""
"26695","","{""personality_traits"":""talkative, confident, honest, reflective"",""emotions_mental_states"":""happiness, sadness""}","survey-text","8","530791","0.0-8.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","3","movies/HardMode.mp4",""
"null","[""movies/Music.mp4""]","null","video-keyboard-response","9","651244","0.0-9.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","4","movies/Music.mp4",""
"28215","","{""personality_traits"":""funny, honest, self-deprecating, talkative"",""emotions_mental_states"":""happiness, embarrassment""}","survey-text","10","679461","0.0-10.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","4","movies/Music.mp4",""
"null","[""movies/Travelling.mp4""]","null","video-keyboard-response","11","800120","0.0-11.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","5","movies/Travelling.mp4",""
"26905","","{""personality_traits"":""talkative, confident, reflective"",""emotions_mental_states"":""happiness""}","survey-text","12","827028","0.0-12.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","5","movies/Travelling.mp4",""
"null","[""movies/Aging.mp4""]","null","video-keyboard-response","13","947560","0.0-13.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","6","movies/Aging.mp4",""
"24366","","{""personality_traits"":""thoughtful, confident, talkative, honest"",""emotions_mental_states"":""happiness""}","survey-text","14","971928","0.0-14.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","6","movies/Aging.mp4",""
"2761","","{""age"":""69""}","survey-text","15","974691","0.0-15.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","","",""
"12795","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Female"",""sexOrientation"":""Heterosexual or straight"",""education"":""Associates degree""}","survey-multi-choice","16","987489","0.0-16.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","","","[0,1,2,3,4]"
"1529","You've finished the last task. Click the button to end the study.","0","html-button-response","17","989021","0.0-17.0","d4nxhcgx2u013ax","16-01-2026","15:10:50","unknown","Group_1","","",""
