"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"4628","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","4638","0.0-0.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","","",""
"5060","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","9699","0.0-1.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","","",""
"27863","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","37564","0.0-2.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","","",""
"null","[""movies/Connection.mp4""]","null","video-keyboard-response","3","158232","0.0-3.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","1","movies/Connection.mp4",""
"131905","","{""personality_traits"":""Confident, authentic, compassionate, thoughtful, upbeat"",""emotions_mental_states"":""Cheerful, puzzled, frustrated, irritated, annoyed""}","survey-text","4","290144","0.0-4.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","1","movies/Connection.mp4",""
"null","[""movies/Avoiding.mp4""]","null","video-keyboard-response","5","410952","0.0-5.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","2","movies/Avoiding.mp4",""
"250734","","{""personality_traits"":""Calm, thoughtful, introverted, self-protective"",""emotions_mental_states"":""Hesitancy, certainty, nervous (slightly,) anxious ""}","survey-text","6","661693","0.0-6.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","2","movies/Avoiding.mp4",""
"null","[""movies/Socializing.mp4""]","null","video-keyboard-response","7","782582","0.0-7.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","3","movies/Socializing.mp4",""
"112255","","{""personality_traits"":""Shy, authentic, sweet natured "",""emotions_mental_states"":""Nervous, embarrassed, abashed, happy""}","survey-text","8","894841","0.0-8.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","3","movies/Socializing.mp4",""
"null","[""movies/MovingHome.mp4""]","null","video-keyboard-response","9","1015398","0.0-9.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","4","movies/MovingHome.mp4",""
"101623","","{""personality_traits"":""Optimistic, friendly, talkative, outgoing, expressive "",""emotions_mental_states"":""Hopeful, distracted, unfocused""}","survey-text","10","1117025","0.0-10.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","4","movies/MovingHome.mp4",""
"null","[""movies/Teaching.mp4""]","null","video-keyboard-response","11","1238007","0.0-11.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","5","movies/Teaching.mp4",""
"104400","","{""personality_traits"":""Calm, Centered, humorous, confident, kind, patient "",""emotions_mental_states"":""Annoyance, frustration, neutrality ""}","survey-text","12","1342411","0.0-12.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","5","movies/Teaching.mp4",""
"null","[""movies/Arrogance.mp4""]","null","video-keyboard-response","13","1463265","0.0-13.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","6","movies/Arrogance.mp4",""
"102817","","{""personality_traits"":""Egotistical, confident, judgmental"",""emotions_mental_states"":""Worried, embarrassed""}","survey-text","14","1566085","0.0-14.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","6","movies/Arrogance.mp4",""
"4292","","{""age"":""68""}","survey-text","15","1570379","0.0-15.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","","",""
"12991","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Female"",""sexOrientation"":""Heterosexual or straight"",""education"":""Associates degree""}","survey-multi-choice","16","1583372","0.0-16.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","","","[0,1,2,3,4]"
"1629","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1585001","0.0-17.0","ymkadcvvbc5na69","16-01-2026","15:4:29","unknown","Group_2","","",""
