"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"14652","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","14660","0.0-0.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","","",""
"5708","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","20370","0.0-1.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","","",""
"17553","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","37925","0.0-2.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","","",""
"null","[""movies/Aging.mp4""]","null","video-keyboard-response","3","160546","0.0-3.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","1","movies/Aging.mp4",""
"55594","","{""personality_traits"":""honest, realistic"",""emotions_mental_states"":""indifferent ""}","survey-text","4","216145","0.0-4.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","1","movies/Aging.mp4",""
"null","[""movies/Cringe.mp4""]","null","video-keyboard-response","5","338809","0.0-5.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","2","movies/Cringe.mp4",""
"32483","","{""personality_traits"":""honest, sad"",""emotions_mental_states"":""stressed""}","survey-text","6","371294","0.0-6.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","2","movies/Cringe.mp4",""
"null","[""movies/HardMode.mp4""]","null","video-keyboard-response","7","494032","0.0-7.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","3","movies/HardMode.mp4",""
"29275","","{""personality_traits"":""honest"",""emotions_mental_states"":""sad""}","survey-text","8","523309","0.0-8.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","3","movies/HardMode.mp4",""
"null","[""movies/Music.mp4""]","null","video-keyboard-response","9","646042","0.0-9.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","4","movies/Music.mp4",""
"28367","","{""personality_traits"":""confident"",""emotions_mental_states"":""reminiscent ""}","survey-text","10","674411","0.0-10.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","4","movies/Music.mp4",""
"null","[""movies/Travelling.mp4""]","null","video-keyboard-response","11","796702","0.0-11.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","5","movies/Travelling.mp4",""
"23691","","{""personality_traits"":""confident"",""emotions_mental_states"":""inspirational""}","survey-text","12","820396","0.0-12.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","5","movies/Travelling.mp4",""
"null","[""movies/Attraction.mp4""]","null","video-keyboard-response","13","943549","0.0-13.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","6","movies/Attraction.mp4",""
"21876","","{""personality_traits"":""honest"",""emotions_mental_states"":""insecure""}","survey-text","14","965428","0.0-14.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","6","movies/Attraction.mp4",""
"5578","","{""age"":""30""}","survey-text","15","971012","0.0-15.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","","",""
"14249","","{""race"":""White"",""hispanic"":""Hispanic or Latino"",""gender"":""Female"",""sexOrientation"":""Gay or lesbian"",""education"":""Some College""}","survey-multi-choice","16","985263","0.0-16.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","","","[0,1,2,3,4]"
"2121","You've finished the last task. Click the button to end the study.","0","html-button-response","17","987396","0.0-17.0","rtep6drtpvrtm8w","16-01-2026","12:31:52","unknown","Group_1","","",""
