"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"2524","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","2534","0.0-0.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","","",""
"5591","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","8126","0.0-1.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","","",""
"16415","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","24542","0.0-2.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","","",""
"null","[""movies/Connection.mp4""]","null","video-keyboard-response","3","144967","0.0-3.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","1","movies/Connection.mp4",""
"72372","","{""personality_traits"":""Outgoing, cheerful, simple"",""emotions_mental_states"":""Happy, enthusiastic, warm""}","survey-text","4","217350","0.0-4.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","1","movies/Connection.mp4",""
"null","[""movies/Arrogance.mp4""]","null","video-keyboard-response","5","337680","0.0-5.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","2","movies/Arrogance.mp4",""
"41260","","{""personality_traits"":""Self assured, confident, cocky, vain"",""emotions_mental_states"":""proud, arrogant""}","survey-text","6","378941","0.0-6.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","2","movies/Arrogance.mp4",""
"null","[""movies/Avoiding.mp4""]","null","video-keyboard-response","7","499432","0.0-7.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","3","movies/Avoiding.mp4",""
"56611","","{""personality_traits"":""shy, scared, wary, evasive"",""emotions_mental_states"":""reclusive, isolated, curmudgeonly""}","survey-text","8","556045","0.0-8.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","3","movies/Avoiding.mp4",""
"null","[""movies/Teaching.mp4""]","null","video-keyboard-response","9","676378","0.0-9.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","4","movies/Teaching.mp4",""
"39602","","{""personality_traits"":""outgoing, warm, friendly, energetic"",""emotions_mental_states"":""happy, unashamed, confident""}","survey-text","10","715981","0.0-10.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","4","movies/Teaching.mp4",""
"null","[""movies/Socializing.mp4""]","null","video-keyboard-response","11","836347","0.0-11.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","5","movies/Socializing.mp4",""
"79168","","{""personality_traits"":""shy, curious, friendly"",""emotions_mental_states"":""enthusiastic, shyness, interested""}","survey-text","12","915517","0.0-12.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","5","movies/Socializing.mp4",""
"null","[""movies/MovingHome.mp4""]","null","video-keyboard-response","13","1035795","0.0-13.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","6","movies/MovingHome.mp4",""
"78943","","{""personality_traits"":""confident, creative, inspired"",""emotions_mental_states"":""happy, nervous""}","survey-text","14","1114740","0.0-14.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","6","movies/MovingHome.mp4",""
"4326","","{""age"":""47""}","survey-text","15","1119068","0.0-15.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","","",""
"13399","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Male"",""sexOrientation"":""Heterosexual or straight"",""education"":""Some College""}","survey-multi-choice","16","1132468","0.0-16.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","","","[0,1,2,3,4]"
"2037","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1134507","0.0-17.0","q3kap25t00okx6m","16-01-2026","18:1:14","unknown","Group_2","","",""
