"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"24986","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","24989","0.0-0.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","","",""
"7100","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","32090","0.0-1.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","","",""
"24223","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","56314","0.0-2.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","","",""
"null","[""movies/Travelling.mp4""]","null","video-keyboard-response","3","176901","0.0-3.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","1","movies/Travelling.mp4",""
"64929","","{""personality_traits"":""honest, candid, confident, humorous, curious, adventurous"",""emotions_mental_states"":""happiness, boredom, curiosity, intrigue, relaxed, angry""}","survey-text","4","241834","0.0-4.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","1","movies/Travelling.mp4",""
"null","[""movies/HardMode.mp4""]","null","video-keyboard-response","5","362509","0.0-5.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","2","movies/HardMode.mp4",""
"66343","","{""personality_traits"":""motivated, slow, depressed, lazy, depressed"",""emotions_mental_states"":""frustrated, sad, bored""}","survey-text","6","428854","0.0-6.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","2","movies/HardMode.mp4",""
"null","[""movies/Music.mp4""]","null","video-keyboard-response","7","549264","0.0-7.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","3","movies/Music.mp4",""
"30902","","{""personality_traits"":""funny, honest, self-deprecating, mature"",""emotions_mental_states"":""surprise, happiness, relaxed""}","survey-text","8","580168","0.0-8.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","3","movies/Music.mp4",""
"null","[""movies/Cringe.mp4""]","null","video-keyboard-response","9","700841","0.0-9.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","4","movies/Cringe.mp4",""
"32479","","{""personality_traits"":""artistic, creative, motivated, curious"",""emotions_mental_states"":""cringe, embarrassed, frustrated""}","survey-text","10","733322","0.0-10.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","4","movies/Cringe.mp4",""
"null","[""movies/Aging.mp4""]","null","video-keyboard-response","11","854287","0.0-11.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","5","movies/Aging.mp4",""
"61521","","{""personality_traits"":""funny, candid, mature"",""emotions_mental_states"":""embarrassment, frustrated, cringe""}","survey-text","12","915809","0.0-12.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","5","movies/Aging.mp4",""
"null","[""movies/Attraction.mp4""]","null","video-keyboard-response","13","1036477","0.0-13.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","6","movies/Attraction.mp4",""
"37328","","{""personality_traits"":""honest, motivating, encouraging"",""emotions_mental_states"":""proud, joyful, enthusiastic""}","survey-text","14","1073805","0.0-14.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","6","movies/Attraction.mp4",""
"2276","","{""age"":""26""}","survey-text","15","1076082","0.0-15.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","","",""
"10428","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Female"",""sexOrientation"":""Gay or lesbian"",""education"":""Bachelor's degree""}","survey-multi-choice","16","1086512","0.0-16.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","","","[0,1,2,3,4]"
"1031","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1087544","0.0-17.0","6zsrcp5lj0xyvse","16-01-2026","18:3:24","unknown","Group_1","","",""
