"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"31637","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","31644","0.0-0.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","","",""
"5203","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","36848","0.0-1.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","","",""
"12027","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","48878","0.0-2.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","","",""
"null","[""movies/HardMode.mp4""]","null","video-keyboard-response","3","170183","0.0-3.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","1","movies/HardMode.mp4",""
"74348","","{""personality_traits"":""determined, thoughtful, motivated, insecure"",""emotions_mental_states"":""depressed, sad, frustrated, bright, energetic""}","survey-text","4","244543","0.0-4.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","1","movies/HardMode.mp4",""
"null","[""movies/Travelling.mp4""]","null","video-keyboard-response","5","365959","0.0-5.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","2","movies/Travelling.mp4",""
"111395","","{""personality_traits"":""thoughtful, reflective, sincere, wise, open-minded, connected, laid back, people-oriented, finds joy in things"",""emotions_mental_states"":""calm, happy""}","survey-text","6","477356","0.0-6.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","2","movies/Travelling.mp4",""
"null","[""movies/Attraction.mp4""]","null","video-keyboard-response","7","598889","0.0-7.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","3","movies/Attraction.mp4",""
"82691","","{""personality_traits"":""insecure, \""influencer\"" personality type, smart, perhaps a bit performative"",""emotions_mental_states"":""neutral""}","survey-text","8","681582","0.0-8.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","3","movies/Attraction.mp4",""
"null","[""movies/Cringe.mp4""]","null","video-keyboard-response","9","803053","0.0-9.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","4","movies/Cringe.mp4",""
"106167","","{""personality_traits"":""insecure, \""lost\"" in life or has no sense of direction, thoughtful"",""emotions_mental_states"":""depressed, sad, defeated""}","survey-text","10","909224","0.0-10.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","4","movies/Cringe.mp4",""
"null","[""movies/Music.mp4""]","null","video-keyboard-response","11","1030208","0.0-11.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","5","movies/Music.mp4",""
"76788","","{""personality_traits"":""funny, energetic, confident, straightforward, honest, sincere, down to earth, realistic, slight insecurity, self deprecating"",""emotions_mental_states"":""happy, relaxed, bashful""}","survey-text","12","1107000","0.0-12.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","5","movies/Music.mp4",""
"null","[""movies/Aging.mp4""]","null","video-keyboard-response","13","1228850","0.0-13.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","6","movies/Aging.mp4",""
"161851","","{""personality_traits"":""confident, bold, \""influencer\"" personality, comfortable, persuasive, strong"",""emotions_mental_states"":""energetic, dismayed, sassy""}","survey-text","14","1390703","0.0-14.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","6","movies/Aging.mp4",""
"3700","","{""age"":""36""}","survey-text","15","1394409","0.0-15.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","","",""
"12984","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Female"",""sexOrientation"":""Heterosexual or straight"",""education"":""Master's degree""}","survey-multi-choice","16","1407396","0.0-16.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","","","[0,1,2,3,4]"
"2241","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1409644","0.0-17.0","y4354c858bkg624","16-01-2026","15:7:40","unknown","Group_1","","",""
