"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"4130","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","4323","0.0-0.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","","",""
"4432","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","8757","0.0-1.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","","",""
"24266","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","33025","0.0-2.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","","",""
"null","[""movies/Avoiding.mp4""]","null","video-keyboard-response","3","156529","0.0-3.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","1","movies/Avoiding.mp4",""
"136077","","{""personality_traits"":""he is honest in his beliefs and how he feels.  He is serious on the subject of beibg alone."",""emotions_mental_states"":""he is somber, not necessarily sad but not happy either""}","survey-text","4","292787","0.0-4.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","1","movies/Avoiding.mp4",""
"null","[""movies/Arrogance.mp4""]","null","video-keyboard-response","5","414226","0.0-5.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","2","movies/Arrogance.mp4",""
"58501","","{""personality_traits"":""he is honest and sincere in his beliefs.  Also arrogant"",""emotions_mental_states"":""happiness and confident in what he believes""}","survey-text","6","472734","0.0-6.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","2","movies/Arrogance.mp4",""
"null","[""movies/Teaching.mp4""]","null","video-keyboard-response","7","593766","0.0-7.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","3","movies/Teaching.mp4",""
"55092","","{""personality_traits"":""honest, confident and happy"",""emotions_mental_states"":""happinessand awareness of whats going on around her""}","survey-text","8","648864","0.0-8.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","3","movies/Teaching.mp4",""
"null","[""movies/Connection.mp4""]","null","video-keyboard-response","9","770037","0.0-9.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","4","movies/Connection.mp4",""
"35485","","{""personality_traits"":""confident, funny, honest, sincere"",""emotions_mental_states"":""she was happy, and fun and joyful""}","survey-text","10","805537","0.0-10.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","4","movies/Connection.mp4",""
"null","[""movies/MovingHome.mp4""]","null","video-keyboard-response","11","926319","0.0-11.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","5","movies/MovingHome.mp4",""
"66632","","{""personality_traits"":""honest, sincere, confident, easy going"",""emotions_mental_states"":""happiness, ""}","survey-text","12","992959","0.0-12.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","5","movies/MovingHome.mp4",""
"null","[""movies/Socializing.mp4""]","null","video-keyboard-response","13","1114002","0.0-13.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","6","movies/Socializing.mp4",""
"45424","","{""personality_traits"":""honest, confident, sincere, somber"",""emotions_mental_states"":""happiness, quiet, reflective""}","survey-text","14","1159431","0.0-14.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","6","movies/Socializing.mp4",""
"5693","","{""age"":""60""}","survey-text","15","1165177","0.0-15.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","","",""
"15775","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Female"",""sexOrientation"":""Heterosexual or straight"",""education"":""Highschool""}","survey-multi-choice","16","1180974","0.0-16.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","","","[0,1,2,3,4]"
"1858","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1182901","0.0-17.0","txzvmburgtfu3o6","16-01-2026","17:17:56","unknown","Group_2","","",""
