"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"13617","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","13636","0.0-0.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","","",""
"5109","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","18752","0.0-1.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","","",""
"26197","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","44952","0.0-2.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","","",""
"null","[""movies/Music.mp4""]","null","video-keyboard-response","3","166901","0.0-3.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","1","movies/Music.mp4",""
"92925","","{""personality_traits"":""friendly    humorous    podcaster"",""emotions_mental_states"":""happyness    likes NY    musical    storyteller""}","survey-text","4","259866","0.0-4.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","1","movies/Music.mp4",""
"null","[""movies/Attraction.mp4""]","null","video-keyboard-response","5","382477","0.0-5.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","2","movies/Attraction.mp4",""
"123694","","{""personality_traits"":""unsure of looks    nails painted outlandishly   proud of how she looks    label on clothing"",""emotions_mental_states"":""grudging    bossy   opinionated   political""}","survey-text","6","506185","0.0-6.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","2","movies/Attraction.mp4",""
"null","[""movies/Cringe.mp4""]","null","video-keyboard-response","7","628609","0.0-7.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","3","movies/Cringe.mp4",""
"70675","","{""personality_traits"":""inativeimagathletic - note medals   confused   tired   "",""emotions_mental_states"":""imaginative    messy   not art lover""}","survey-text","8","699295","0.0-8.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","3","movies/Cringe.mp4",""
"null","[""movies/Travelling.mp4""]","null","video-keyboard-response","9","821825","0.0-9.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","4","movies/Travelling.mp4",""
"45763","","{""personality_traits"":""skateboarder  happy   satisfied"",""emotions_mental_states"":""neatly groomed   calm    satisfied""}","survey-text","10","867592","0.0-10.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","4","movies/Travelling.mp4",""
"null","[""movies/HardMode.mp4""]","null","video-keyboard-response","11","990529","0.0-11.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","5","movies/HardMode.mp4",""
"89304","","{""personality_traits"":""showoffy   nose jewel   long curly hair"",""emotions_mental_states"":""ous    proud of his opinionhappy   ambiti""}","survey-text","12","1079838","0.0-12.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","5","movies/HardMode.mp4",""
"null","[""movies/Aging.mp4""]","null","video-keyboard-response","13","1202569","0.0-13.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","6","movies/Aging.mp4",""
"55447","","{""personality_traits"":""religious    happy   neat"",""emotions_mental_states"":""talks with hands   cheerful   active body movements""}","survey-text","14","1258024","0.0-14.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","6","movies/Aging.mp4",""
"6777","","{""age"":""94""}","survey-text","15","1264816","0.0-15.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","","",""
"22169","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Female"",""sexOrientation"":""Heterosexual or straight"",""education"":""Bachelor's degree""}","survey-multi-choice","16","1286991","0.0-16.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","","","[0,1,2,3,4]"
"2620","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1289616","0.0-17.0","g5y94w0joksjo9n","16-01-2026","18:16:23","unknown","Group_1","","",""
