"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"18892","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","18905","0.0-0.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","","",""
"3632","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","22540","0.0-1.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","","",""
"11363","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","33904","0.0-2.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","","",""
"null","[""movies/MovingHome.mp4""]","null","video-keyboard-response","3","154329","0.0-3.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","1","movies/MovingHome.mp4",""
"123464","","{""personality_traits"":""Vulnerable, child-like, self-centered, insecure"",""emotions_mental_states"":""Fear, anxiety, mild embarrassment, flashes of self-consciousness""}","survey-text","4","277837","0.0-4.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","1","movies/MovingHome.mp4",""
"null","[""movies/Teaching.mp4""]","null","video-keyboard-response","5","398513","0.0-5.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","2","movies/Teaching.mp4",""
"62986","","{""personality_traits"":""Honest, self-deceptive, insecure "",""emotions_mental_states"":""Sad, nostalgic, regretful ""}","survey-text","6","461530","0.0-6.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","2","movies/Teaching.mp4",""
"null","[""movies/Arrogance.mp4""]","null","video-keyboard-response","7","582131","0.0-7.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","3","movies/Arrogance.mp4",""
"78996","","{""personality_traits"":""Insecure, not confident"",""emotions_mental_states"":""Terror, fear, profound loneliness, isolation, dissatisfaction""}","survey-text","8","661162","0.0-8.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","3","movies/Arrogance.mp4",""
"null","[""movies/Socializing.mp4""]","null","video-keyboard-response","9","781876","0.0-9.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","4","movies/Socializing.mp4",""
"43345","","{""personality_traits"":""Honest, reflective, shy"",""emotions_mental_states"":""Happy, self-conscious, proud, relieved ""}","survey-text","10","825236","0.0-10.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","4","movies/Socializing.mp4",""
"null","[""movies/Avoiding.mp4""]","null","video-keyboard-response","11","945919","0.0-11.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","5","movies/Avoiding.mp4",""
"73657","","{""personality_traits"":""Self-deceptive, not confident"",""emotions_mental_states"":""Sad, bitter, resentful, withdrawn, angry, upset, hurt""}","survey-text","12","1019585","0.0-12.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","5","movies/Avoiding.mp4",""
"null","[""movies/Connection.mp4""]","null","video-keyboard-response","13","1140274","0.0-13.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","6","movies/Connection.mp4",""
"121756","","{""personality_traits"":""Extraverted "",""emotions_mental_states"":""Lonely, disconnected, unfulfilled, wanting""}","survey-text","14","1262039","0.0-14.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","6","movies/Connection.mp4",""
"2588","","{""age"":""38""}","survey-text","15","1264640","0.0-15.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","","",""
"7691","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Male"",""sexOrientation"":""Heterosexual or straight"",""education"":""Bachelor's degree""}","survey-multi-choice","16","1272344","0.0-16.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","","","[0,1,2,3,4]"
"989","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1273336","0.0-17.0","fxf0m35mp697yk9","16-01-2026","18:28:6","unknown","Group_2","","",""
