"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"7890","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","7895","0.0-0.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","","",""
"1891","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","9791","0.0-1.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","","",""
"1823","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","11620","0.0-2.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","","",""
"null","[""movies/MovingHome.mp4""]","null","video-keyboard-response","3","132293","0.0-3.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","1","movies/MovingHome.mp4",""
"142501","","{""personality_traits"":""Charismatic, energetic, goal-oriented"",""emotions_mental_states"":""Anxiety, annoyance""}","survey-text","4","274814","0.0-4.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","1","movies/MovingHome.mp4",""
"null","[""movies/Avoiding.mp4""]","null","video-keyboard-response","5","396065","0.0-5.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","2","movies/Avoiding.mp4",""
"113225","","{""personality_traits"":""Reflective, impatient, Rude"",""emotions_mental_states"":""at peace, indifferent. ""}","survey-text","6","509296","0.0-6.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","2","movies/Avoiding.mp4",""
"null","[""movies/Socializing.mp4""]","null","video-keyboard-response","7","630422","0.0-7.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","3","movies/Socializing.mp4",""
"53095","","{""personality_traits"":""insercure, kind, loyal"",""emotions_mental_states"":""worry, fear, joy""}","survey-text","8","683523","0.0-8.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","3","movies/Socializing.mp4",""
"null","[""movies/Teaching.mp4""]","null","video-keyboard-response","9","804529","0.0-9.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","4","movies/Teaching.mp4",""
"29171","","{""personality_traits"":""meticulous, caring, loyal"",""emotions_mental_states"":""joy, anxiety, sadness""}","survey-text","10","833713","0.0-10.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","4","movies/Teaching.mp4",""
"null","[""movies/Arrogance.mp4""]","null","video-keyboard-response","11","954658","0.0-11.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","5","movies/Arrogance.mp4",""
"91626","","{""personality_traits"":""Rude, arrogant, Narcissistic"",""emotions_mental_states"":""Anxious, annoyed, disgust""}","survey-text","12","1046297","0.0-12.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","5","movies/Arrogance.mp4",""
"null","[""movies/Connection.mp4""]","null","video-keyboard-response","13","1167319","0.0-13.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","6","movies/Connection.mp4",""
"40263","","{""personality_traits"":""Social, Optimistic, Caring"",""emotions_mental_states"":""Joy, annoyed, anger""}","survey-text","14","1207594","0.0-14.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","6","movies/Connection.mp4",""
"4529","","{""age"":""35""}","survey-text","15","1212131","0.0-15.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","","",""
"38104","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Female"",""sexOrientation"":""Heterosexual or straight"",""education"":""Associates degree""}","survey-multi-choice","16","1250242","0.0-16.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","","","[0,1,2,3,4]"
"3212","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1253467","0.0-17.0","yycggex3gc6v5o1","16-01-2026","17:34:42","unknown","Group_2","","",""
