"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"11815","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","11836","0.0-0.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","","",""
"6503","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","18343","0.0-1.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","","",""
"20788","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","39133","0.0-2.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","","",""
"null","[""movies/Arrogance.mp4""]","null","video-keyboard-response","3","160241","0.0-3.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","1","movies/Arrogance.mp4",""
"96896","","{""personality_traits"":""narcissistic, ego-centric, judgmental, mean, arrogant"",""emotions_mental_states"":""paranoid, emotional, anxious""}","survey-text","4","257190","0.0-4.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","1","movies/Arrogance.mp4",""
"null","[""movies/Teaching.mp4""]","null","video-keyboard-response","5","378022","0.0-5.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","2","movies/Teaching.mp4",""
"107110","","{""personality_traits"":""helpful, intelligent, insightful, supportive, classy, perfectionist, attentive, overthinker"",""emotions_mental_states"":""confident, warm, bubbly, introspective, energetic""}","survey-text","6","485147","0.0-6.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","2","movies/Teaching.mp4",""
"null","[""movies/Socializing.mp4""]","null","video-keyboard-response","7","605956","0.0-7.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","3","movies/Socializing.mp4",""
"757474","","{""personality_traits"":""shy, gentle, soft, quiet, overthinker, confident, secure, introspective, social anxiety"",""emotions_mental_states"":""happy, secure, autistic""}","survey-text","8","1363455","0.0-8.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","3","movies/Socializing.mp4",""
"null","[""movies/Connection.mp4""]","null","video-keyboard-response","9","1485013","0.0-9.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","4","movies/Connection.mp4",""
"91969","","{""personality_traits"":""bubbly, peppy, confident, friendly, social, helpful, caring, considerate, thoughtful, opinionated, loud, empath"",""emotions_mental_states"":""empathy""}","survey-text","10","1577001","0.0-10.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","4","movies/Connection.mp4",""
"null","[""movies/MovingHome.mp4""]","null","video-keyboard-response","11","1697767","0.0-11.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","5","movies/MovingHome.mp4",""
"90495","","{""personality_traits"":""thoughtful, picky, loud, assertive, go-getter, hard worker, confident, strong, pro-active"",""emotions_mental_states"":""happy, questioning, struggling, busy, on the go""}","survey-text","12","1788267","0.0-12.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","5","movies/MovingHome.mp4",""
"null","[""movies/Avoiding.mp4""]","null","video-keyboard-response","13","1909075","0.0-13.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","6","movies/Avoiding.mp4",""
"59253","","{""personality_traits"":""introvert, independent, logical, rational, spiritual, philosophical, wise, "",""emotions_mental_states"":""calm, peaceful, focused, secure""}","survey-text","14","1968340","0.0-14.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","6","movies/Avoiding.mp4",""
"1893","","{""age"":""31""}","survey-text","15","1970245","0.0-15.0","fh3bcuhcbbht0ca","16-01-2026","18:24:11","unknown","Group_2","","",""
