"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"3805","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","3814","0.0-0.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","","",""
"4317","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","8133","0.0-1.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","","",""
"1335","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","9469","0.0-2.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","","",""
"null","[""movies/Travelling.mp4""]","null","video-keyboard-response","3","130541","0.0-3.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","1","movies/Travelling.mp4",""
"20803","","{""personality_traits"":""honest"",""emotions_mental_states"":""mellow""}","survey-text","4","151388","0.0-4.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","1","movies/Travelling.mp4",""
"null","[""movies/Music.mp4""]","null","video-keyboard-response","5","272073","0.0-5.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","2","movies/Music.mp4",""
"44412","","{""personality_traits"":""Funny shy"",""emotions_mental_states"":""Embarrsed""}","survey-text","6","316490","0.0-6.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","2","movies/Music.mp4",""
"null","[""movies/HardMode.mp4""]","null","video-keyboard-response","7","437493","0.0-7.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","3","movies/HardMode.mp4",""
"21927","","{""personality_traits"":""honest humble"",""emotions_mental_states"":""Indifferent""}","survey-text","8","459424","0.0-8.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","3","movies/HardMode.mp4",""
"null","[""movies/Aging.mp4""]","null","video-keyboard-response","9","580246","0.0-9.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","4","movies/Aging.mp4",""
"21193","","{""personality_traits"":""honest confident"",""emotions_mental_states"":""Happy""}","survey-text","10","601446","0.0-10.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","4","movies/Aging.mp4",""
"null","[""movies/Cringe.mp4""]","null","video-keyboard-response","11","722400","0.0-11.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","5","movies/Cringe.mp4",""
"29166","","{""personality_traits"":""Shy monotone"",""emotions_mental_states"":""Sad depressing""}","survey-text","12","751572","0.0-12.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","5","movies/Cringe.mp4",""
"null","[""movies/Attraction.mp4""]","null","video-keyboard-response","13","872666","0.0-13.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","6","movies/Attraction.mp4",""
"33699","","{""personality_traits"":""Happy"",""emotions_mental_states"":""Caring""}","survey-text","14","906371","0.0-14.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","6","movies/Attraction.mp4",""
"65773","","{""age"":""25""}","survey-text","15","972146","0.0-15.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","","",""
"11614","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Male"",""sexOrientation"":""Heterosexual or straight"",""education"":""Highschool""}","survey-multi-choice","16","983763","0.0-16.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","","","[0,1,2,3,4]"
"1333","You've finished the last task. Click the button to end the study.","0","html-button-response","17","985098","0.0-17.0","oqc9c89tz8xbs5z","16-01-2026","18:43:42","unknown","Group_1","","",""
