"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"26909","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","26911","0.0-0.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","","",""
"12007","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","38919","0.0-1.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","","",""
"856","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","39775","0.0-2.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","","",""
"null","[""movies/Music.mp4""]","null","video-keyboard-response","3","160304","0.0-3.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","1","movies/Music.mp4",""
"53563","","{""personality_traits"":""Insecure"",""emotions_mental_states"":""Vulnerable""}","survey-text","4","213888","0.0-4.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","1","movies/Music.mp4",""
"null","[""movies/Travelling.mp4""]","null","video-keyboard-response","5","334980","0.0-5.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","2","movies/Travelling.mp4",""
"39031","","{""personality_traits"":""Honest, Humble"",""emotions_mental_states"":""Clarity, Adventure""}","survey-text","6","374015","0.0-6.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","2","movies/Travelling.mp4",""
"null","[""movies/Cringe.mp4""]","null","video-keyboard-response","7","495051","0.0-7.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","3","movies/Cringe.mp4",""
"36945","","{""personality_traits"":""outgoing"",""emotions_mental_states"":""Calmness, focused""}","survey-text","8","531999","0.0-8.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","3","movies/Cringe.mp4",""
"null","[""movies/Aging.mp4""]","null","video-keyboard-response","9","653215","0.0-9.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","4","movies/Aging.mp4",""
"38108","","{""personality_traits"":""Assertive"",""emotions_mental_states"":""Joyful,""}","survey-text","10","691326","0.0-10.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","4","movies/Aging.mp4",""
"null","[""movies/Attraction.mp4""]","null","video-keyboard-response","11","812400","0.0-11.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","5","movies/Attraction.mp4",""
"42930","","{""personality_traits"":""Insecure, Curious"",""emotions_mental_states"":""thoughtful""}","survey-text","12","855334","0.0-12.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","5","movies/Attraction.mp4",""
"null","[""movies/HardMode.mp4""]","null","video-keyboard-response","13","976535","0.0-13.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","6","movies/HardMode.mp4",""
"27659","","{""personality_traits"":""Honest, Sad"",""emotions_mental_states"":""Disappointed""}","survey-text","14","1004197","0.0-14.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","6","movies/HardMode.mp4",""
"3333","","{""age"":""23""}","survey-text","15","1007533","0.0-15.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","","",""
"9080","","{""race"":""Black or African-American"",""hispanic"":""Hispanic or Latino"",""gender"":""Male"",""sexOrientation"":""Heterosexual or straight"",""education"":""Associates degree""}","survey-multi-choice","16","1016615","0.0-16.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","","","[0,1,2,3,4]"
"1389","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1018005","0.0-17.0","6r1x47r0od4y75e","16-01-2026","15:46:12","unknown","Group_1","","",""
