"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"5470","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","5477","0.0-0.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","","",""
"12539","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","18017","0.0-1.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","","",""
"41639","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","59658","0.0-2.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","","",""
"null","[""movies/Aging.mp4""]","null","video-keyboard-response","3","180237","0.0-3.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","1","movies/Aging.mp4",""
"63066","","{""personality_traits"":""authentic, realistic, candid, stable, compassionate, accepting, "",""emotions_mental_states"":""confidence, comfortable, ""}","survey-text","4","243309","0.0-4.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","1","movies/Aging.mp4",""
"null","[""movies/Cringe.mp4""]","null","video-keyboard-response","5","363982","0.0-5.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","2","movies/Cringe.mp4",""
"54122","","{""personality_traits"":""honest, relatable, quiet, candid"",""emotions_mental_states"":""anxious, depressed, disappointed""}","survey-text","6","418106","0.0-6.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","2","movies/Cringe.mp4",""
"null","[""movies/Attraction.mp4""]","null","video-keyboard-response","7","538838","0.0-7.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","3","movies/Attraction.mp4",""
"27903","","{""personality_traits"":""reflective, deserving, earnest"",""emotions_mental_states"":""content, confident""}","survey-text","8","566743","0.0-8.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","3","movies/Attraction.mp4",""
"null","[""movies/Music.mp4""]","null","video-keyboard-response","9","687235","0.0-9.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","4","movies/Music.mp4",""
"17909","","{""personality_traits"":""reflective, nostalgic, inspired, determined, thankful, humble"",""emotions_mental_states"":""content""}","survey-text","10","705146","0.0-10.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","4","movies/Music.mp4",""
"null","[""movies/HardMode.mp4""]","null","video-keyboard-response","11","825945","0.0-11.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","5","movies/HardMode.mp4",""
"42952","","{""personality_traits"":""questioning, thoughtful, disciplined"",""emotions_mental_states"":""jealous, anxious, stressed""}","survey-text","12","868899","0.0-12.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","5","movies/HardMode.mp4",""
"null","[""movies/Travelling.mp4""]","null","video-keyboard-response","13","989633","0.0-13.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","6","movies/Travelling.mp4",""
"25535","","{""personality_traits"":""adventurous, open-minded, open, explorative"",""emotions_mental_states"":""curious, inspired, content, fascinated""}","survey-text","14","1015169","0.0-14.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","6","movies/Travelling.mp4",""
"3043","","{""age"":""50""}","survey-text","15","1018214","0.0-15.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","","",""
"7971","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Male"",""sexOrientation"":""Heterosexual or straight"",""education"":""Some College""}","survey-multi-choice","16","1026187","0.0-16.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","","","[0,1,2,3,4]"
"2121","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1028309","0.0-17.0","1csk4twwhbkwg0y","16-01-2026","17:47:4","unknown","Group_1","","",""
