"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"3863","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","3874","0.0-0.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","","",""
"9908","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","13783","0.0-1.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","","",""
"11382","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","25166","0.0-2.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","","",""
"null","[""movies/HardMode.mp4""]","null","video-keyboard-response","3","145693","0.0-3.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","1","movies/HardMode.mp4",""
"43384","","{""personality_traits"":""Entitled. self-pitying."",""emotions_mental_states"":""Arrogance""}","survey-text","4","189091","0.0-4.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","1","movies/HardMode.mp4",""
"null","[""movies/Attraction.mp4""]","null","video-keyboard-response","5","309704","0.0-5.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","2","movies/Attraction.mp4",""
"44926","","{""personality_traits"":""Confident"",""emotions_mental_states"":""regret, self loathing""}","survey-text","6","354632","0.0-6.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","2","movies/Attraction.mp4",""
"null","[""movies/Aging.mp4""]","null","video-keyboard-response","7","475242","0.0-7.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","3","movies/Aging.mp4",""
"46716","","{""personality_traits"":""optimistic, perky, warm"",""emotions_mental_states"":""Happy, hopeful, ""}","survey-text","8","521960","0.0-8.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","3","movies/Aging.mp4",""
"null","[""movies/Cringe.mp4""]","null","video-keyboard-response","9","642543","0.0-9.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","4","movies/Cringe.mp4",""
"38952","","{""personality_traits"":""timid, uncertain"",""emotions_mental_states"":""fearful, worried""}","survey-text","10","681497","0.0-10.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","4","movies/Cringe.mp4",""
"null","[""movies/Music.mp4""]","null","video-keyboard-response","11","801884","0.0-11.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","5","movies/Music.mp4",""
"34996","","{""personality_traits"":""disorganized, self-centered"",""emotions_mental_states"":""confusion, entitlement""}","survey-text","12","836882","0.0-12.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","5","movies/Music.mp4",""
"null","[""movies/Travelling.mp4""]","null","video-keyboard-response","13","957483","0.0-13.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","6","movies/Travelling.mp4",""
"32837","","{""personality_traits"":""rambling"",""emotions_mental_states"":""confused""}","survey-text","14","990322","0.0-14.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","6","movies/Travelling.mp4",""
"2624","","{""age"":""47""}","survey-text","15","992948","0.0-15.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","","",""
"16877","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Male"",""sexOrientation"":""Heterosexual or straight"",""education"":""Bachelor's degree""}","survey-multi-choice","16","1009826","0.0-16.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","","","[0,1,2,3,4]"
"2276","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1012104","0.0-17.0","gvxdfuojkounhqa","16-01-2026","18:49:19","unknown","Group_1","","",""
