"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"2694","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","2698","0.0-0.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","","",""
"1913","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","4612","0.0-1.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","","",""
"1666","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","6279","0.0-2.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","","",""
"null","[""movies/MovingHome.mp4""]","null","video-keyboard-response","3","128200","0.0-3.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","1","movies/MovingHome.mp4",""
"114621","","{""personality_traits"":"" optimistic, practical, timid"",""emotions_mental_states"":""satisfaction, excitement""}","survey-text","4","242837","0.0-4.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","1","movies/MovingHome.mp4",""
"null","[""movies/Arrogance.mp4""]","null","video-keyboard-response","5","367342","0.0-5.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","2","movies/Arrogance.mp4",""
"91321","","{""personality_traits"":""polite, distracted, "",""emotions_mental_states"":""indifference, uncertainty""}","survey-text","6","458677","0.0-6.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","2","movies/Arrogance.mp4",""
"null","[""movies/Socializing.mp4""]","null","video-keyboard-response","7","582383","0.0-7.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","3","movies/Socializing.mp4",""
"185467","","{""personality_traits"":""polite,  calm,"",""emotions_mental_states"":""uncertainty, indifference, ""}","survey-text","8","767868","0.0-8.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","3","movies/Socializing.mp4",""
"null","[""movies/Teaching.mp4""]","null","video-keyboard-response","9","895041","0.0-9.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","4","movies/Teaching.mp4",""
"177231","","{""personality_traits"":""confident, honest"",""emotions_mental_states"":""amusement,  relief""}","survey-text","10","1072285","0.0-10.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","4","movies/Teaching.mp4",""
"null","[""movies/Connection.mp4""]","null","video-keyboard-response","11","1197710","0.0-11.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","5","movies/Connection.mp4",""
"165781","","{""personality_traits"":"" confident, reflective\n"",""emotions_mental_states"":""indifference, pensiveness,""}","survey-text","12","1363497","0.0-12.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","5","movies/Connection.mp4",""
"null","[""movies/Avoiding.mp4""]","null","video-keyboard-response","13","1488039","0.0-13.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","6","movies/Avoiding.mp4",""
"126069","","{""personality_traits"":"" fair, assertive"",""emotions_mental_states"":""uncertainty, hesitant confidence,""}","survey-text","14","1614112","0.0-14.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","6","movies/Avoiding.mp4",""
"4064","","{""age"":""36""}","survey-text","15","1618179","0.0-15.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","","",""
"9736","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Female"",""sexOrientation"":""Heterosexual or straight"",""education"":""Master's degree""}","survey-multi-choice","16","1627919","0.0-16.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","","","[0,1,2,3,4]"
"2068","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1629989","0.0-17.0","4alejamu19rh68g","16-01-2026","18:54:17","unknown","Group_2","","",""
