"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"4227","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","4264","0.0-0.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","","",""
"4311","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","8580","0.0-1.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","","",""
"822511","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","831096","0.0-2.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","","",""
"null","[""movies/Avoiding.mp4""]","null","video-keyboard-response","3","953901","0.0-3.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","1","movies/Avoiding.mp4",""
"73719","","{""personality_traits"":""lonely, pessimistic, unfriendly, bitter and closed "",""emotions_mental_states"":""sad, depressed, unmotivated, hopeless""}","survey-text","4","1027693","0.0-4.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","1","movies/Avoiding.mp4",""
"null","[""movies/Connection.mp4""]","null","video-keyboard-response","5","1150551","0.0-5.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","2","movies/Connection.mp4",""
"85063","","{""personality_traits"":""extroverted, confident, talkative, friendly"",""emotions_mental_states"":""anxious, open, bright, outgoing, emotional""}","survey-text","6","1235632","0.0-6.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","2","movies/Connection.mp4",""
"null","[""movies/Socializing.mp4""]","null","video-keyboard-response","7","1358789","0.0-7.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","3","movies/Socializing.mp4",""
"152120","","{""personality_traits"":""shy, demure, timid, introverted, pensive"",""emotions_mental_states"":""careful, hesitant, tranquil, observant, impacted""}","survey-text","8","1510920","0.0-8.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","3","movies/Socializing.mp4",""
"null","[""movies/MovingHome.mp4""]","null","video-keyboard-response","9","1632759","0.0-9.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","4","movies/MovingHome.mp4",""
"97970","","{""personality_traits"":""extroverted, idealist, right-brained, explorative, compelling"",""emotions_mental_states"":""anxious, selective, hopeful, undecided, happy, optimistic""}","survey-text","10","1730737","0.0-10.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","4","movies/MovingHome.mp4",""
"null","[""movies/Arrogance.mp4""]","null","video-keyboard-response","11","1853692","0.0-11.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","5","movies/Arrogance.mp4",""
"53347","","{""personality_traits"":""marcissistic, arrogant, smug, self-absorbed, judgemental "",""emotions_mental_states"":""scorned, misunderstood, numb, empty, uncaring""}","survey-text","12","1907053","0.0-12.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","5","movies/Arrogance.mp4",""
"null","[""movies/Teaching.mp4""]","null","video-keyboard-response","13","2029846","0.0-13.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","6","movies/Teaching.mp4",""
"98136","","{""personality_traits"":""traumatized, hypervigilant, self-conscious, mindful"",""emotions_mental_states"":""shame, withdrawn, sad, troubled, suppressed ""}","survey-text","14","2127992","0.0-14.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","6","movies/Teaching.mp4",""
"3671","","{""age"":""41""}","survey-text","15","2131683","0.0-15.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","","",""
"14854","","{""race"":""Other"",""hispanic"":""Hispanic or Latino"",""gender"":""Female"",""sexOrientation"":""Heterosexual or straight"",""education"":""Some College""}","survey-multi-choice","16","2146546","0.0-16.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","","","[0,1,2,3,4]"
"1475","You've finished the last task. Click the button to end the study.","0","html-button-response","17","2148029","0.0-17.0","gs5ev3ud9c4m954","16-01-2026","18:46:33","unknown","Group_2","","",""
