"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"30562","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","30572","0.0-0.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","","",""
"871574","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","902152","0.0-1.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","","",""
"38153","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","940307","0.0-2.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","","",""
"null","[""movies/Arrogance.mp4""]","null","video-keyboard-response","3","1062039","0.0-3.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","1","movies/Arrogance.mp4",""
"129983","","{""personality_traits"":""fake. confident"",""emotions_mental_states"":""anxious. cynicism""}","survey-text","4","1192058","0.0-4.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","1","movies/Arrogance.mp4",""
"null","[""movies/MovingHome.mp4""]","null","video-keyboard-response","5","1313314","0.0-5.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","2","movies/MovingHome.mp4",""
"41070","","{""personality_traits"":""honest, positive"",""emotions_mental_states"":""anxious, indifferent, optimist""}","survey-text","6","1354389","0.0-6.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","2","movies/MovingHome.mp4",""
"null","[""movies/Teaching.mp4""]","null","video-keyboard-response","7","1476112","0.0-7.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","3","movies/Teaching.mp4",""
"52324","","{""personality_traits"":""happy, sincere"",""emotions_mental_states"":""reflective, joyful, active""}","survey-text","8","1528442","0.0-8.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","3","movies/Teaching.mp4",""
"null","[""movies/Avoiding.mp4""]","null","video-keyboard-response","9","1671816","0.0-9.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","4","movies/Avoiding.mp4",""
"47864","","{""personality_traits"":""loner, honest, calm"",""emotions_mental_states"":""peaceful, individualistic""}","survey-text","10","1719686","0.0-10.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","4","movies/Avoiding.mp4",""
"null","[""movies/Connection.mp4""]","null","video-keyboard-response","11","1841551","0.0-11.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","5","movies/Connection.mp4",""
"172730","","{""personality_traits"":""extrovert, talkative, energetic"",""emotions_mental_states"":""enthusiastic, positive""}","survey-text","12","2014287","0.0-12.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","5","movies/Connection.mp4",""
"null","[""movies/Socializing.mp4""]","null","video-keyboard-response","13","2136045","0.0-13.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","6","movies/Socializing.mp4",""
"101407","","{""personality_traits"":""introvert, reflective"",""emotions_mental_states"":""nervous, anxiety, tentantive""}","survey-text","14","2237457","0.0-14.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","6","movies/Socializing.mp4",""
"5478","","{""age"":""39""}","survey-text","15","2242939","0.0-15.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","","",""
"13933","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Female"",""sexOrientation"":""Heterosexual or straight"",""education"":""Some College""}","survey-multi-choice","16","2256875","0.0-16.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","","","[0,1,2,3,4]"
"1739","You've finished the last task. Click the button to end the study.","0","html-button-response","17","2258618","0.0-17.0","wtld9ffzosb076n","16-01-2026","16:46:25","unknown","Group_2","","",""
