"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"1346","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","1350","0.0-0.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","","",""
"2348","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","3699","0.0-1.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","","",""
"17015","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","20716","0.0-2.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","","",""
"null","[""movies/Music.mp4""]","null","video-keyboard-response","3","141016","0.0-3.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","1","movies/Music.mp4",""
"110131","","{""personality_traits"":""confident, insecure, humble, honest, respectful"",""emotions_mental_states"":""embarrassment, pride, happiness""}","survey-text","4","251165","0.0-4.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","1","movies/Music.mp4",""
"null","[""movies/Travelling.mp4""]","null","video-keyboard-response","5","371603","0.0-5.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","2","movies/Travelling.mp4",""
"70484","","{""personality_traits"":""Confident, extraverted, thoughtful, adventurous, open-minded, and friendly"",""emotions_mental_states"":""Nostalgic, pensive, and happiness""}","survey-text","6","442096","0.0-6.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","2","movies/Travelling.mp4",""
"null","[""movies/Attraction.mp4""]","null","video-keyboard-response","7","562497","0.0-7.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","3","movies/Attraction.mp4",""
"254204","","{""personality_traits"":""Confident, honest, pensive, self-reflective, introspective, and humble"",""emotions_mental_states"":""Happiness and sadness""}","survey-text","8","816710","0.0-8.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","3","movies/Attraction.mp4",""
"null","[""movies/Aging.mp4""]","null","video-keyboard-response","9","937141","0.0-9.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","4","movies/Aging.mp4",""
"42018","","{""personality_traits"":""Funny, introspective, confident, thoughtful, and pensive"",""emotions_mental_states"":""Pride, anger, and frustration""}","survey-text","10","979175","0.0-10.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","4","movies/Aging.mp4",""
"null","[""movies/Cringe.mp4""]","null","video-keyboard-response","11","1099511","0.0-11.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","5","movies/Cringe.mp4",""
"91971","","{""personality_traits"":""Artistic, insecure, introspective, and honest "",""emotions_mental_states"":""Embarrassment, disappointment, bitterness, unsatisfied, sadness""}","survey-text","12","1191490","0.0-12.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","5","movies/Cringe.mp4",""
"null","[""movies/HardMode.mp4""]","null","video-keyboard-response","13","1311904","0.0-13.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","6","movies/HardMode.mp4",""
"86124","","{""personality_traits"":""Introspective, confident, pensive, hard-worker, go-getter, optimistic, and observant"",""emotions_mental_states"":""Frustration, disappointment, optimism, and envy""}","survey-text","14","1398036","0.0-14.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","6","movies/HardMode.mp4",""
"1805","","{""age"":""23""}","survey-text","15","1399855","0.0-15.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","","",""
"9312","","{""race"":""White"",""hispanic"":""Hispanic or Latino"",""gender"":""Female"",""sexOrientation"":""Bisexual"",""education"":""Bachelor's degree""}","survey-multi-choice","16","1409169","0.0-16.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","","","[0,1,2,3,4]"
"999","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1410171","0.0-17.0","4hg2ktxu70td7gz","16-01-2026","19:14:20","unknown","Group_1","","",""
