"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"117877","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","117914","0.0-0.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","","",""
"3985","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","121903","0.0-1.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","","",""
"2652","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","124558","0.0-2.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","","",""
"null","[""movies/Arrogance.mp4""]","null","video-keyboard-response","3","277973","0.0-3.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","1","movies/Arrogance.mp4",""
"71331","","{""personality_traits"":""Confident, egotistic"",""emotions_mental_states"":""indifference""}","survey-text","4","349332","0.0-4.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","1","movies/Arrogance.mp4",""
"null","[""movies/MovingHome.mp4""]","null","video-keyboard-response","5","558387","0.0-5.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","2","movies/MovingHome.mp4",""
"41108","","{""personality_traits"":""friendly"",""emotions_mental_states"":""upbeat""}","survey-text","6","599500","0.0-6.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","2","movies/MovingHome.mp4",""
"null","[""movies/Socializing.mp4""]","null","video-keyboard-response","7","761294","0.0-7.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","3","movies/Socializing.mp4",""
"34705","","{""personality_traits"":""honest, shy"",""emotions_mental_states"":""happy""}","survey-text","8","796006","0.0-8.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","3","movies/Socializing.mp4",""
"null","[""movies/Connection.mp4""]","null","video-keyboard-response","9","1136199","0.0-9.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","4","movies/Connection.mp4",""
"40829","","{""personality_traits"":""confident, talkative"",""emotions_mental_states"":""happy""}","survey-text","10","1177037","0.0-10.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","4","movies/Connection.mp4",""
"null","[""movies/Avoiding.mp4""]","null","video-keyboard-response","11","1426503","0.0-11.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","5","movies/Avoiding.mp4",""
"33415","","{""personality_traits"":""honest"",""emotions_mental_states"":""positive""}","survey-text","12","1459928","0.0-12.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","5","movies/Avoiding.mp4",""
"null","[""movies/Teaching.mp4""]","null","video-keyboard-response","13","1582652","0.0-13.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","6","movies/Teaching.mp4",""
"32493","","{""personality_traits"":""nice, confident"",""emotions_mental_states"":""happiness""}","survey-text","14","1615152","0.0-14.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","6","movies/Teaching.mp4",""
"6095","","{""age"":""50""}","survey-text","15","1621253","0.0-15.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","","",""
"13547","","{""race"":""White"",""hispanic"":""Not Hispanic or Latino"",""gender"":""Female"",""sexOrientation"":""Heterosexual or straight"",""education"":""Associates degree""}","survey-multi-choice","16","1634808","0.0-16.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","","","[0,1,2,3,4]"
"2490","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1637301","0.0-17.0","bdy6tphxy29bf73","16-01-2026","19:37:35","unknown","Group_2","","",""
