"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","time","prolificID","group","video_number","video_file","question_order"
"2715","
      <div style=""max-width: 800px; margin: 0 auto; text-align: left;"">
        <h1>Consent to Participate</h1>

        <p><strong>(Please scroll down to read all information.)</strong></p>
        
        <div style=""
          max-height: 300px;
          overflow-y: scroll;
          border: 1px solid #ccc;
          padding: 15px;
          margin-bottom: 20px;
        "">

        <p>
          This research study is being conducted by researchers from
          <strong>Columbia University</strong>.
        </p>

        <p>
          The purpose of this study is to get your impressions of people talking about themselves.
        </p>

        <p>
          Participation involves watching and responding to videos.
        </p>

        <p>
          Some materials may contain emotional content. If you feel uncomfortable,
          you may stop participating at any time without penalty.
        </p>

        <p>
          Your data will be collected anonymously and used only for research purposes.
        </p>

        <p>
          If you have questions, you may contact the research team at
          <a href=""mailto:columbia.freemanlab@gmail.com"">
            columbia.freemanlab@gmail.com</a>.
        </p>
        </div>

        <p><strong>Do you consent to participate in this study?</strong></p>
      </div>
    ","0","html-button-response","0","2723","0.0-0.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","","",""
"1758","
        You will watch <strong>6 videos</strong> of people talking about themselves.<br><br>
        After each video, you will be asked to respond with:
        <br>• Their personality
        <br>• The emotions or mental states they experienced
    ","0","html-button-response","1","4489","0.0-1.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","","",""
"1299","
        <p>
            A <strong>personality trait</strong> might be <i>funny</i> or <i>honest</i>.
        </p>

        <p>
            An <strong>emotion or mental state</strong> might be <i>embarrassment</i>,
            <i>happiness</i>, or <i>indifference</i>.
        </p>

        <p>
            <strong>Please list all traits, emotions, and mental states that came to mind
            at <u>any point</u> during the video.</strong>
        </p>

        <p>
            Do <u>not</u> give only a single overall impression. If your impressions
            changed over time, include <strong>everything you noticed</strong>, even if
            it only occurred briefly.
        </p>
    ","0","html-button-response","2","5795","0.0-2.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","","",""
"null","[""movies/HardMode.mp4""]","null","video-keyboard-response","3","126793","0.0-3.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","1","movies/HardMode.mp4",""
"259335","","{""personality_traits"":""empathetic, optimistic, nostalgic "",""emotions_mental_states"":""Sad, discouraged, self realizing""}","survey-text","4","386154","0.0-4.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","1","movies/HardMode.mp4",""
"null","[""movies/Travelling.mp4""]","null","video-keyboard-response","5","507467","0.0-5.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","2","movies/Travelling.mp4",""
"70082","","{""personality_traits"":""nostalgic, humorous, proud"",""emotions_mental_states"":""selflessness, pride, happiness, relaxed""}","survey-text","6","577560","0.0-6.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","2","movies/Travelling.mp4",""
"null","[""movies/Aging.mp4""]","null","video-keyboard-response","7","698086","0.0-7.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","3","movies/Aging.mp4",""
"54482","","{""personality_traits"":""logical, negative, reflective"",""emotions_mental_states"":""analytical, honest, indifference""}","survey-text","8","752581","0.0-8.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","3","movies/Aging.mp4",""
"null","[""movies/Attraction.mp4""]","null","video-keyboard-response","9","873867","0.0-9.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","4","movies/Attraction.mp4",""
"67202","","{""personality_traits"":""honorable, truthful, ambitious"",""emotions_mental_states"":""enthusiastic, persistent, observant""}","survey-text","10","941082","0.0-10.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","4","movies/Attraction.mp4",""
"null","[""movies/Music.mp4""]","null","video-keyboard-response","11","1062202","0.0-11.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","5","movies/Music.mp4",""
"45769","","{""personality_traits"":""funny, selfless, stable"",""emotions_mental_states"":""honest,organized, skillful""}","survey-text","12","1107984","0.0-12.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","5","movies/Music.mp4",""
"null","[""movies/Cringe.mp4""]","null","video-keyboard-response","13","1229846","0.0-13.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","6","movies/Cringe.mp4",""
"138091","","{""personality_traits"":""paranoid, dramatic, anxious"",""emotions_mental_states"":""blunt, insecure, unconfident""}","survey-text","14","1367952","0.0-14.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","6","movies/Cringe.mp4",""
"3724","","{""age"":""25""}","survey-text","15","1371689","0.0-15.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","","",""
"9181","","{""race"":""White"",""hispanic"":""Hispanic or Latino"",""gender"":""Male"",""sexOrientation"":""Heterosexual or straight"",""education"":""Some College""}","survey-multi-choice","16","1380881","0.0-16.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","","","[0,1,2,3,4]"
"1298","You've finished the last task. Click the button to end the study.","0","html-button-response","17","1382194","0.0-17.0","57yza1lhhzdjah5","16-01-2026","18:57:18","unknown","Group_1","","",""
